date,open,high,low,close,volume
2024-07-01 04:00:00,537.4811,537.4811,536.6044,536.6733,9049
2024-07-01 04:05:00,536.8703,537.1363,536.8506,537.1264,6197
2024-07-01 04:10:00,537.1166,537.1166,536.8802,536.9393,694
2024-07-01 04:15:00,536.9688,537.1363,536.8900,537.1067,6795
2024-07-01 04:20:00,537.1757,537.1757,537.0575,537.0575,1840
2024-07-01 04:25:00,537.0870,537.1757,537.0378,537.1461,1993
2024-07-01 04:30:00,537.1855,537.3235,537.1264,537.1264,1337
2024-07-01 04:35:00,537.1166,537.1166,536.5453,536.5453,5203
2024-07-01 04:40:00,536.4862,536.4960,536.2399,536.3680,4660
2024-07-01 04:45:00,536.5256,536.7423,536.4665,536.5157,3300
2024-07-01 04:50:00,536.5650,536.6635,536.5256,536.5650,820
2024-07-01 04:55:00,536.5354,536.5748,536.3483,536.3975,1768
2024-07-01 05:00:00,536.3581,536.4074,536.2399,536.2892,1742
2024-07-01 05:05:00,536.3680,536.4271,536.0626,536.1316,1858
2024-07-01 05:10:00,536.1217,536.1513,535.9641,536.0035,3511
2024-07-01 05:15:00,536.0035,536.3286,536.0035,536.2498,2722
2024-07-01 05:20:00,536.2399,536.2793,536.0922,536.1414,2575
2024-07-01 05:25:00,536.1513,536.1611,536.0331,536.1217,3034
2024-07-01 05:30:00,536.1316,536.4468,536.1316,536.4271,1607
2024-07-01 05:35:00,536.4172,536.6438,536.4172,536.6339,469
2024-07-01 05:40:00,536.5945,536.5945,536.4665,536.4665,1043
2024-07-01 05:45:00,536.4369,536.4763,536.2596,536.4369,81838
2024-07-01 05:50:00,536.5157,536.5748,536.3877,536.5453,8877
2024-07-01 05:55:00,536.5748,536.6832,536.5551,536.6832,1599
2024-07-01 06:00:00,536.5945,536.8309,536.5945,536.7915,503
2024-07-01 06:05:00,536.7915,536.8506,536.7324,536.8309,1466
2024-07-01 06:10:00,536.7915,536.8211,536.7324,536.7620,3054
2024-07-01 06:15:00,536.7620,536.7620,536.6044,536.6635,1335
2024-07-01 06:20:00,536.6241,536.7817,536.5847,536.7226,4286
2024-07-01 06:25:00,536.6930,536.7029,536.5354,536.6339,771
2024-07-01 06:30:00,536.5945,536.6536,536.5157,536.5157,5100
2024-07-01 06:35:00,536.5945,536.5945,536.4862,536.5453,352
2024-07-01 06:40:00,536.5453,536.7226,536.4763,536.7127,13266
2024-07-01 06:45:00,536.7127,536.7521,536.6536,536.7521,1065
2024-07-01 06:50:00,536.7226,537.0279,536.7226,536.9590,5854
