date,open,high,low,close,volume
2022-08-01 04:00:00,392.9340,392.9531,392.8193,392.8480,3735
2022-08-01 04:05:00,392.9627,392.9627,392.8289,392.8862,1218
2022-08-01 04:10:00,392.9913,393.1538,392.7620,392.7620,4380
2022-08-01 04:15:00,392.7715,392.9436,392.7620,392.9436,2200
2022-08-01 04:20:00,392.7524,392.7524,392.7524,392.7524,500
2022-08-01 04:25:00,392.7142,392.7142,392.6473,392.6664,596
2022-08-01 04:30:00,392.6855,392.6855,392.6855,392.6855,107
2022-08-01 04:35:00,392.6378,392.6664,392.6378,392.6664,400
2022-08-01 04:40:00,392.7047,392.7142,392.5804,392.5804,1349
2022-08-01 04:45:00,392.4849,392.4849,392.4753,392.4753,1000
2022-08-01 04:50:00,392.2746,392.3415,392.2269,392.3415,467
2022-08-01 04:55:00,392.2651,392.3511,392.2651,392.3511,1050
2022-08-01 05:05:00,392.4275,392.4275,392.4275,392.4275,100
2022-08-01 05:10:00,392.5422,392.5422,392.5422,392.5422,500
2022-08-01 05:15:00,392.6664,392.6664,392.6187,392.6187,899
2022-08-01 05:20:00,392.6569,392.6569,392.6569,392.6569,350
2022-08-01 05:25:00,392.7524,392.7524,392.6569,392.6664,1190
2022-08-01 05:30:00,392.6473,393.0009,392.6473,393.0009,2689
2022-08-01 05:35:00,392.8958,392.8958,392.8958,392.8958,100
2022-08-01 05:40:00,392.9531,392.9531,392.9531,392.9531,300
2022-08-01 05:45:00,392.9436,392.9436,392.9340,392.9340,200
2022-08-01 05:50:00,393.0965,393.0965,393.0296,393.0296,754
2022-08-01 05:55:00,392.9722,393.0296,392.9436,392.9531,1500
2022-08-01 06:00:00,392.9053,393.0296,392.9053,393.0296,2300
2022-08-01 06:05:00,393.1347,393.1633,393.0104,393.0104,1490
2022-08-01 06:10:00,392.9436,392.9436,392.8671,392.9149,3336
2022-08-01 06:15:00,392.9053,393.0104,392.9053,393.0104,3200
2022-08-01 06:20:00,392.8576,392.8576,392.8576,392.8576,300
2022-08-01 06:25:00,392.8862,392.9531,392.8862,392.9531,805
2022-08-01 06:30:00,392.9531,392.9531,392.8576,392.8576,1107
2022-08-01 06:35:00,392.9913,393.0009,392.9436,392.9627,5650
2022-08-01 06:40:00,392.9149,392.9244,392.8671,392.9244,2291
2022-08-01 06:45:00,392.9436,392.9436,392.7811,392.7811,6068
2022-08-01 06:50:00,392.8193,392.8384,392.8098,392.8098,895
2022-08-01 06:55:00,392.8958,392.9149,392.8958,392.9149,500
2022-08-01 07:00:00,392.9053,393.0391,392.9053,392.9531,11656
2022-08-01 07:05:00,393.0296,393.0965,392.9722,392.9722,8142
2022-08-01 07:10:00,393.0009,393.2494,392.9913,393.2398,1815
2022-08-01 07:15:00,393.2016,393.2494,393.0869,393.1920,9976
2022-08-01 07:20:00,393.1825,393.3354,393.1442,393.1538,14015
2022-08-01 07:25:00,393.1825,393.2971,393.1633,393.2398,3318
2022-08-01 07:30:00,393.1920,393.1920,393.1251,393.1251,1469
2022-08-01 07:35:00,393.1060,393.1729,393.1060,393.1729,1643
2022-08-01 07:40:00,393.2016,393.5551,393.1825,393.4405,9848
2022-08-01 07:45:00,393.4500,393.7654,393.4500,393.5838,21036
2022-08-01 07:50:00,393.5456,393.5551,393.3927,393.3927,3573
2022-08-01 07:55:00,393.2780,393.3162,393.2111,393.2302,32245
2022-08-01 08:00:00,393.2302,393.6937,392.1982,392.9913,39921
2022-08-01 08:05:00,393.0009,393.0009,392.3033,392.7333,104075
2022-08-01 08:10:00,392.7524,392.7620,392.5613,392.6187,20095
2022-08-01 08:15:00,392.6760,392.6760,392.5040,392.5135,25618
2022-08-01 08:20:00,392.5613,392.5804,392.4371,392.4562,12610
2022-08-01 08:25:00,392.4658,392.4849,392.1982,392.3893,58329
2022-08-01 08:30:00,392.3415,392.5326,392.2269,392.2651,82516
2022-08-01 08:35:00,392.3224,392.3224,392.1122,392.2269,26734
2022-08-01 08:40:00,392.1409,392.2173,391.9880,392.1791,37919
2022-08-01 08:45:00,392.1791,392.1791,391.6822,391.7682,78144
2022-08-01 08:50:00,391.7873,391.9306,391.2139,391.2999,190668
2022-08-01 08:55:00,391.2904,391.5006,390.8412,391.2235,96902
2022-08-01 09:00:00,391.2235,391.2904,390.5546,390.6788,208043
2022-08-01 09:05:00,390.7648,391.2617,390.7170,391.2617,41157
2022-08-01 09:10:00,391.2617,391.3668,391.1470,391.3668,40512
2022-08-01 09:15:00,391.2808,391.3095,390.8795,390.9081,124429
2022-08-01 09:20:00,390.8986,391.2426,390.7935,391.2235,155286
2022-08-01 09:25:00,391.2044,391.2235,390.8412,391.0037,42517
2022-08-01 09:30:00,390.9846,391.4433,390.2679,390.8317,1978240
2022-08-01 09:35:00,390.8412,391.5579,390.7074,391.4815,1085038
2022-08-01 09:40:00,391.4910,392.3702,391.2713,392.0740,994987
2022-08-01 09:45:00,392.0931,392.4371,391.8159,392.1743,674883
2022-08-01 09:50:00,392.1885,393.2780,392.0644,393.0869,875964
2022-08-01 09:55:00,393.0869,393.4787,392.8910,392.9340,726407
2022-08-01 10:00:00,392.8767,393.7080,392.3893,393.2111,1143044
2022-08-01 10:05:00,393.2493,394.5776,393.2207,394.0220,1244713
2022-08-01 10:10:00,394.0329,394.4439,393.9661,394.1381,581007
2022-08-01 10:15:00,394.1381,394.2241,392.8384,392.8480,934259
2022-08-01 10:20:00,392.8480,393.0678,392.4275,392.8200,923550
2022-08-01 10:25:00,392.8098,392.8623,391.8351,392.1600,1018015
2022-08-01 10:30:00,392.1886,392.7620,392.1429,392.5040,464225
2022-08-01 10:35:00,392.4944,393.0009,392.3606,392.9733,400780
2022-08-01 10:40:00,392.9818,393.8227,392.9722,393.7415,713854
2022-08-01 10:45:00,393.7558,394.4541,393.6603,394.2910,594289
2022-08-01 10:50:00,394.2862,395.0554,394.2862,394.8309,770987
2022-08-01 10:55:00,394.8452,394.8452,394.5395,394.7066,586851
2022-08-01 11:00:00,394.7114,395.0374,394.2624,394.3770,554514
2022-08-01 11:05:00,394.3770,394.4056,393.9374,394.1671,333903
2022-08-01 11:10:00,394.1667,394.6589,394.0807,394.6254,376197
2022-08-01 11:15:00,394.6159,394.6445,393.3831,393.4118,640862
2022-08-01 11:20:00,393.3927,394.4534,393.2732,394.3387,418021
