date,open,high,low,close,volume
2021-08-02 04:00:00,415.1246,415.7841,415.1246,415.7087,9900
2021-08-02 04:05:00,415.7276,415.7276,415.5674,415.5674,850
2021-08-02 04:10:00,415.5674,415.5862,415.4920,415.4920,1540
2021-08-02 04:15:00,415.5109,415.5109,415.5109,415.5109,1000
2021-08-02 04:20:00,415.4261,415.5015,415.3695,415.3695,7900
2021-08-02 04:30:00,415.4732,415.5109,415.4732,415.5109,1600
2021-08-02 04:35:00,415.5391,415.5391,415.4920,415.4920,899
2021-08-02 04:45:00,415.4920,415.4920,415.4920,415.4920,800
2021-08-02 04:55:00,415.4543,415.5957,415.4543,415.5957,500
2021-08-02 05:00:00,415.5768,415.5768,415.5768,415.5768,100
2021-08-02 05:05:00,415.5486,415.5486,415.5486,415.5486,200
2021-08-02 05:10:00,415.5862,415.5862,415.4920,415.4920,500
2021-08-02 05:15:00,415.5109,415.5109,415.5109,415.5109,100
2021-08-02 05:20:00,415.4920,415.4920,415.4920,415.4920,300
2021-08-02 05:25:00,415.5768,415.5768,415.5768,415.5768,100
2021-08-02 05:30:00,415.6334,415.6334,415.6334,415.6334,168
2021-08-02 05:35:00,415.7464,415.7558,415.7464,415.7558,400
2021-08-02 05:40:00,415.6993,415.6993,415.6616,415.6616,500
2021-08-02 05:45:00,415.6428,415.6428,415.6428,415.6428,100
2021-08-02 05:50:00,415.7276,415.7276,415.7276,415.7276,100
2021-08-02 05:55:00,415.6993,415.6993,415.6993,415.6993,200
2021-08-02 06:00:00,415.5203,415.5862,415.4449,415.5862,1890
2021-08-02 06:05:00,415.5297,415.5297,415.4826,415.4826,3600
2021-08-02 06:10:00,415.3319,415.3319,415.3130,415.3130,400
2021-08-02 06:15:00,415.3130,415.4072,415.2942,415.4072,5302
2021-08-02 06:20:00,415.4167,415.4167,415.4167,415.4167,100
2021-08-02 06:25:00,415.4072,415.4261,415.4072,415.4261,1300
2021-08-02 06:30:00,415.4355,415.4732,415.3224,415.3224,6036
2021-08-02 06:35:00,415.3601,415.3601,415.2471,415.3130,900
2021-08-02 06:45:00,415.2188,415.2942,415.2188,415.2942,3066
