date,open,high,low,close,volume
2023-06-01 04:00:00,404.9999,405.1548,404.7677,404.8935,2501
2023-06-01 04:05:00,404.8838,404.9322,404.6806,404.8838,579
2023-06-01 04:10:00,404.8645,404.9032,404.8451,404.9032,661
2023-06-01 04:15:00,404.9128,404.9128,404.6903,404.8451,1083
2023-06-01 04:20:00,404.8741,404.8838,404.6806,404.8548,3292
2023-06-01 04:25:00,404.9225,405.0677,404.9225,405.0290,2151
2023-06-01 04:30:00,405.0580,405.1838,405.0580,405.1548,3344
2023-06-01 04:35:00,405.2128,405.2612,405.1935,405.2612,2757
2023-06-01 04:40:00,405.2612,405.3096,405.1935,405.2322,1046
2023-06-01 04:45:00,405.2419,405.4741,405.2419,405.4257,2218
2023-06-01 04:50:00,405.4741,405.5612,405.4741,405.5612,6874
2023-06-01 04:55:00,405.5419,405.5709,405.4838,405.4838,467
2023-06-01 05:00:00,405.5032,405.5032,405.3290,405.4161,12056
2023-06-01 05:05:00,405.3870,405.4354,405.2903,405.4161,3012
2023-06-01 05:10:00,405.4257,405.4548,405.3580,405.3580,2537
2023-06-01 05:15:00,405.2999,405.3483,405.2322,405.2709,991
2023-06-01 05:20:00,405.2612,405.2903,405.2225,405.2322,1199
2023-06-01 05:25:00,405.2322,405.2999,405.2032,405.2806,1187
2023-06-01 05:30:00,405.2128,405.2128,405.1354,405.1838,3210
2023-06-01 05:35:00,405.2322,405.2322,405.1354,405.2032,399
2023-06-01 05:40:00,405.1838,405.3774,405.1838,405.3677,18841
2023-06-01 05:45:00,405.3677,405.4451,405.3290,405.3483,22868
2023-06-01 05:50:00,405.3096,405.3870,405.3096,405.3483,18041
2023-06-01 05:55:00,405.3774,405.4645,405.3483,405.4548,18424
2023-06-01 06:00:00,405.4645,405.4741,405.3580,405.3870,10079
2023-06-01 06:05:00,405.3870,405.4935,405.2999,405.4645,6261
2023-06-01 06:10:00,405.4838,405.5225,405.4354,405.4838,4506
2023-06-01 06:15:00,405.4645,405.4645,405.3870,405.4257,2374
2023-06-01 06:20:00,405.4257,405.5806,405.4257,405.5225,5584
2023-06-01 06:25:00,405.5806,405.6483,405.5128,405.6483,3668
2023-06-01 06:30:00,405.6580,405.8128,405.6483,405.7161,2695
2023-06-01 06:35:00,405.6967,405.7548,405.6096,405.6870,7795
2023-06-01 06:40:00,405.7064,405.7257,405.6096,405.6483,4274
2023-06-01 06:45:00,405.6096,405.6483,405.5999,405.6193,2798
2023-06-01 06:50:00,405.6387,405.7161,405.6193,405.6774,1361
2023-06-01 06:55:00,405.6774,405.6774,405.3387,405.3387,6375
2023-06-01 07:00:00,405.3096,405.5032,405.2903,405.4935,72156
2023-06-01 07:05:00,405.4935,405.5612,405.4838,405.5612,6287
2023-06-01 07:10:00,405.5419,405.7257,405.5128,405.7161,5942
2023-06-01 07:15:00,405.7064,405.7161,405.5516,405.6193,9177
2023-06-01 07:20:00,405.5806,405.5806,405.5128,405.5322,5288
2023-06-01 07:25:00,405.5032,405.5806,405.2999,405.3096,6988
2023-06-01 07:30:00,405.3387,405.4838,405.3290,405.3870,5841
2023-06-01 07:35:00,405.2999,405.3193,405.2032,405.2612,2994
2023-06-01 07:40:00,405.2322,405.4161,405.2032,405.4161,19942
2023-06-01 07:45:00,405.3967,405.4064,405.1645,405.1935,3773
2023-06-01 07:50:00,405.1645,405.2806,405.1548,405.1645,26106
2023-06-01 07:55:00,405.1838,405.2225,405.0967,405.1935,57448
2023-06-01 08:00:00,405.3788,405.7257,403.1661,405.2806,120550
2023-06-01 08:05:00,405.2806,405.6774,404.7870,404.8645,102824
2023-06-01 08:10:00,404.8548,404.9999,404.8258,404.9419,13510
2023-06-01 08:15:00,404.9419,404.9419,404.3709,404.7290,54041
2023-06-01 08:20:00,404.7096,404.8354,404.1290,404.8354,34987
2023-06-01 08:25:00,404.8064,404.9419,404.3709,404.7532,112026
2023-06-01 08:30:00,404.7096,405.3290,404.6903,404.9999,51576
2023-06-01 08:35:00,404.9999,405.0193,404.6128,404.6709,129048
2023-06-01 08:40:00,404.6806,404.6903,404.3612,404.6322,40865
2023-06-01 08:45:00,404.6322,404.7387,404.3225,404.4677,70824
2023-06-01 08:50:00,404.4774,404.6128,404.3903,404.4967,17036
2023-06-01 08:55:00,404.4870,404.6709,404.4387,404.5645,12984
2023-06-01 09:00:00,404.5548,404.5838,404.3225,404.3903,14282
2023-06-01 09:05:00,404.4193,404.8064,404.3903,404.7435,56666
2023-06-01 09:10:00,404.7290,404.8354,404.6419,404.7096,9454
2023-06-01 09:15:00,404.7096,404.7096,404.5645,404.6806,28141
2023-06-01 09:20:00,404.6612,404.8741,404.6419,404.8258,33361
