date,open,high,low,close,volume
2023-09-01 04:00:00,438.5935,438.7101,438.1953,438.6324,6851
2023-09-01 04:05:00,438.5838,438.6421,438.4867,438.5255,3542
2023-09-01 04:10:00,438.6032,438.6227,438.5061,438.5158,2843
2023-09-01 04:15:00,438.5741,438.5741,438.3701,438.3701,901
2023-09-01 04:20:00,438.4381,438.4672,438.3701,438.4672,1837
2023-09-01 04:25:00,438.4867,438.5158,438.4867,438.5158,343
2023-09-01 04:30:00,438.5255,438.5255,438.4187,438.4381,471
2023-09-01 04:35:00,438.6032,438.6421,438.4672,438.5935,581
2023-09-01 04:40:00,438.6227,438.6227,438.4672,438.4672,1161
2023-09-01 04:45:00,438.5352,438.5741,438.4187,438.5547,1971
2023-09-01 04:50:00,438.6324,438.6324,438.5255,438.5255,1054
2023-09-01 04:55:00,438.4381,438.4381,438.4381,438.4381,135
2023-09-01 05:00:00,438.4770,438.7101,438.4770,438.7101,1189
2023-09-01 05:05:00,438.7004,438.7489,438.6421,438.6907,4529
2023-09-01 05:10:00,438.6907,438.8946,438.6907,438.8266,6633
2023-09-01 05:15:00,438.8752,438.9626,438.8752,438.9432,2195
2023-09-01 05:20:00,438.9141,438.9626,438.8946,438.9626,5681
2023-09-01 05:25:00,439.0209,439.0306,438.9529,439.0015,299
2023-09-01 05:30:00,438.9626,439.0015,438.9044,438.9044,220
2023-09-01 05:35:00,438.8946,439.0015,438.7878,438.9432,1674
2023-09-01 05:40:00,438.9432,438.9626,438.8558,438.8558,886
2023-09-01 05:45:00,438.8849,438.9432,438.8558,438.9432,1361
2023-09-01 05:50:00,438.8849,438.9044,438.7975,438.7975,5772
2023-09-01 05:55:00,438.7684,438.8169,438.7392,438.8169,1138
2023-09-01 06:00:00,438.7586,438.7878,438.5255,438.6032,2848
2023-09-01 06:05:00,438.6032,438.8169,438.5547,438.8169,1912
2023-09-01 06:10:00,438.8169,439.0403,438.7489,439.0306,4153
2023-09-01 06:15:00,439.0306,439.0501,438.9335,438.9529,2642
2023-09-01 06:20:00,438.9335,439.0598,438.9335,439.0501,2834
2023-09-01 06:25:00,439.0695,439.0792,438.9626,438.9918,5097
2023-09-01 06:30:00,438.9529,439.1375,438.9432,439.1375,2378
2023-09-01 06:35:00,439.0986,439.1958,439.0889,439.1569,25937
2023-09-01 06:40:00,439.1278,439.2055,439.1278,439.1958,483
2023-09-01 06:45:00,439.2055,439.5746,438.9918,439.0501,69668
2023-09-01 06:50:00,439.0792,439.3415,438.9432,438.9432,28529
2023-09-01 06:55:00,438.9821,439.1083,438.9432,439.0986,2027
2023-09-01 07:00:00,439.0403,439.1666,438.9141,439.1666,42075
2023-09-01 07:05:00,439.1472,439.1666,439.0112,439.0209,15633
2023-09-01 07:10:00,439.0501,439.1569,439.0209,439.1569,3161
2023-09-01 07:15:00,439.1569,439.3220,439.1569,439.2540,5333
2023-09-01 07:20:00,439.2637,439.2929,439.1860,439.2443,3437
2023-09-01 07:25:00,439.2929,439.3220,439.1860,439.2443,10787
2023-09-01 07:30:00,439.2152,439.2540,439.0792,439.1278,1907
2023-09-01 07:35:00,439.1375,439.1860,439.0695,439.0889,3093
2023-09-01 07:40:00,439.1472,439.3900,439.1472,439.3512,13685
2023-09-01 07:45:00,439.3609,439.3706,439.2055,439.2055,3758
2023-09-01 07:50:00,439.2249,439.2249,439.0986,439.1569,4774
2023-09-01 07:55:00,439.1180,439.1472,439.0403,439.1083,27406
2023-09-01 08:00:00,439.0406,439.3755,437.4473,439.2249,53333
2023-09-01 08:05:00,439.2637,439.4095,439.2055,439.3706,8435
2023-09-01 08:10:00,439.3884,439.3900,439.1666,439.1666,9772
2023-09-01 08:15:00,439.1569,439.2152,439.0209,439.0305,19135
2023-09-01 08:20:00,439.0161,439.2249,438.9723,439.2055,99666
2023-09-01 08:25:00,439.2055,439.4386,439.0112,439.1763,98926
2023-09-01 08:30:00,439.4677,440.3808,438.6518,440.2205,519198
2023-09-01 08:35:00,440.2448,440.5071,440.0311,440.4585,250275
2023-09-01 08:40:00,440.4294,440.4391,439.8077,439.8757,79014
2023-09-01 08:45:00,439.8660,440.3614,437.4473,440.3225,146441
2023-09-01 08:50:00,440.3128,440.5071,439.8271,440.1088,56867
2023-09-01 08:55:00,440.0700,440.2740,439.7883,440.1283,49566
2023-09-01 09:00:00,440.1477,440.3419,439.8854,440.0408,61313
2023-09-01 09:05:00,440.0603,440.4488,439.8757,440.4294,87637
2023-09-01 09:10:00,440.4391,440.5362,440.1768,440.2740,63928
2023-09-01 09:15:00,440.2254,440.3419,440.0797,440.2740,45346
2023-09-01 09:20:00,440.2837,440.6625,440.2448,440.3225,64944
2023-09-01 09:25:00,440.3322,440.3517,440.0214,440.1865,162965
2023-09-01 09:30:00,440.1865,440.6722,439.9146,440.2448,2165163
2023-09-01 09:35:00,440.2545,440.2740,439.0792,439.2200,1320047
2023-09-01 09:40:00,439.2249,439.3997,438.6809,439.2346,1059232
2023-09-01 09:45:00,439.2346,439.2346,438.2244,438.5741,1138415
2023-09-01 09:50:00,438.5644,438.8364,438.2730,438.7392,896154
2023-09-01 09:55:00,438.7489,439.4095,438.6761,439.3762,802975
2023-09-01 10:00:00,439.3415,439.5357,438.2341,439.5260,1577361
2023-09-01 10:05:00,439.5260,439.7300,438.9821,439.5260,1005491
2023-09-01 10:10:00,439.5260,440.0603,439.4386,439.7300,1190012
2023-09-01 10:15:00,439.7300,440.0020,439.5275,439.9340,794987
2023-09-01 10:20:00,439.9534,439.9534,439.3512,439.6037,770289
2023-09-01 10:25:00,439.5940,439.7689,439.0598,439.7494,714616
2023-09-01 10:30:00,439.7397,439.7397,438.9141,438.9141,904728
2023-09-01 10:35:00,438.9092,439.4483,438.8558,439.1278,591454
2023-09-01 10:40:00,439.1278,439.1860,438.8169,439.0872,501903
2023-09-01 10:45:00,439.0792,439.1180,438.3913,438.5158,568727
2023-09-01 10:50:00,438.5158,438.7392,438.2147,438.2633,544599
2023-09-01 10:55:00,438.2536,438.3215,437.7582,438.0593,956657
2023-09-01 11:00:00,438.0301,438.3007,437.9136,438.1467,543908
2023-09-01 11:05:00,438.1418,438.2244,437.8360,437.9330,692031
2023-09-01 11:10:00,437.9233,438.1078,437.7776,437.8747,425528
2023-09-01 11:15:00,437.8747,438.2827,437.7970,438.2263,453128
2023-09-01 11:20:00,438.2244,438.2633,438.0593,438.2050,459137
2023-09-01 11:25:00,438.1953,438.3215,437.7484,437.9136,441067
2023-09-01 11:30:00,437.9330,438.0615,437.6222,437.7883,552981
2023-09-01 11:35:00,437.7776,437.9330,437.5930,437.6610,441378
2023-09-01 11:40:00,437.6659,437.7193,437.4765,437.5250,465927
2023-09-01 11:45:00,437.5202,437.5347,436.8548,436.9519,994456
2023-09-01 11:50:00,436.9422,437.0975,436.8062,437.0781,556533
2023-09-01 11:55:00,437.0685,437.1655,436.9228,436.9927,502758
2023-09-01 12:00:00,436.9908,437.0684,436.7965,436.8888,1006931
2023-09-01 12:05:00,436.8888,437.3211,436.8548,437.2337,453144
2023-09-01 12:10:00,437.2385,437.4376,437.1074,437.3502,372964
2023-09-01 12:15:00,437.3308,437.5250,437.2531,437.4862,306383
2023-09-01 12:20:00,437.4862,437.6950,437.4862,437.6513,347704
2023-09-01 12:25:00,437.6610,437.8747,437.6610,437.6707,354930
2023-09-01 12:30:00,437.6756,437.9428,437.6367,437.7115,546237
2023-09-01 12:35:00,437.7193,437.7484,437.3793,437.4275,354487
2023-09-01 12:40:00,437.4230,437.5445,437.2045,437.3065,406248
2023-09-01 12:45:00,437.3065,437.6988,437.2239,437.6902,321289
2023-09-01 12:50:00,437.6899,438.0787,437.6416,437.9233,436718
2023-09-01 12:55:00,437.9427,438.0010,437.7873,437.8262,368140
2023-09-01 13:00:00,437.8262,437.9524,437.6027,437.6471,422933
2023-09-01 13:05:00,437.6601,437.7922,437.5454,437.5882,198659
2023-09-01 13:10:00,437.6027,438.4478,437.5446,437.6562,169873
2023-09-01 13:15:00,437.6513,437.8456,437.6465,437.7873,254722
2023-09-01 13:20:00,437.7824,437.9767,437.6820,437.6889,289581
2023-09-01 13:25:00,437.6707,437.6707,437.4230,437.4473,610243
2023-09-01 13:30:00,437.4376,437.7290,437.4085,437.5833,334446
2023-09-01 13:35:00,437.5542,437.7679,437.5463,437.7106,304495
2023-09-01 13:40:00,437.7096,437.7096,437.3881,437.3988,207764
2023-09-01 13:45:00,437.3890,437.4959,437.2822,437.4279,221602
2023-09-01 13:50:00,437.4279,437.6027,437.3691,437.5445,361906
2023-09-01 13:55:00,437.5445,437.8046,437.5153,437.7387,265624
2023-09-01 14:00:00,437.7346,437.8650,437.6125,437.8450,252171
2023-09-01 14:05:00,437.8456,437.8747,437.7096,437.8359,268810
2023-09-01 14:10:00,437.8456,437.8748,437.6707,437.7601,272914
2023-09-01 14:15:00,437.7630,437.7679,437.5455,437.5833,220712
2023-09-01 14:20:00,437.5802,437.6416,437.3211,437.3599,276629
2023-09-01 14:25:00,437.3405,437.4133,437.0296,437.2530,480913
2023-09-01 14:30:00,437.2346,437.2773,437.0394,437.1171,352001
2023-09-01 14:35:00,437.1268,437.1899,436.9908,437.1851,378832
2023-09-01 14:40:00,437.1753,437.4570,437.1559,437.3123,439693
2023-09-01 14:45:00,437.3211,437.4959,437.3016,437.3211,225787
2023-09-01 14:50:00,437.3193,437.5639,437.3162,437.4959,271604
2023-09-01 14:55:00,437.4959,437.6610,437.4279,437.6416,360381
2023-09-01 15:00:00,437.6319,437.7776,437.5493,437.6319,709405
2023-09-01 15:05:00,437.6416,437.7484,437.4765,437.7149,638839
2023-09-01 15:10:00,437.7193,437.9427,437.5930,437.8164,481050
2023-09-01 15:15:00,437.8359,437.8650,437.6902,437.7679,417886
2023-09-01 15:20:00,437.7776,437.9427,437.6902,437.9379,431036
