date,open,high,low,close,volume
2023-03-01 04:00:00,383.0817,383.6505,382.2527,383.6505,17615
2023-03-01 04:05:00,383.6216,383.6216,383.3131,383.3709,7766
2023-03-01 04:10:00,383.4288,383.5059,383.4288,383.5059,1505
2023-03-01 04:15:00,383.5155,383.5252,383.3131,383.3227,4450
2023-03-01 04:20:00,383.3227,383.3516,382.9950,383.0528,4190
2023-03-01 04:25:00,383.1685,383.1685,382.9853,382.9853,7700
2023-03-01 04:30:00,382.9950,383.1396,382.9853,383.1396,2415
2023-03-01 04:35:00,383.2263,383.2263,383.1203,383.1203,7800
2023-03-01 04:40:00,383.1010,383.1781,382.9950,382.9950,3264
2023-03-01 04:45:00,383.0335,383.0335,382.8696,382.8696,2500
2023-03-01 04:50:00,382.9950,382.9950,382.9853,382.9950,2500
2023-03-01 04:55:00,383.0914,383.1781,383.0914,383.1781,8600
2023-03-01 05:00:00,383.1974,383.1974,382.9853,382.9853,1646
2023-03-01 05:05:00,383.1878,383.1878,383.1203,383.1203,300
2023-03-01 05:10:00,383.0335,383.0335,383.0335,383.0335,100
2023-03-01 05:15:00,383.1010,383.1396,383.1010,383.1396,1600
2023-03-01 05:20:00,383.1781,383.2263,383.1781,383.1781,4251
2023-03-01 05:25:00,383.1781,383.3420,383.1781,383.3420,6656
2023-03-01 05:30:00,383.4577,383.4577,383.1974,383.1974,3944
2023-03-01 05:35:00,383.2456,383.3709,383.2456,383.3324,7546
2023-03-01 05:40:00,383.3613,383.4770,383.3613,383.3998,7854
2023-03-01 05:45:00,383.3034,383.3034,383.3034,383.3034,200
2023-03-01 05:50:00,383.3034,383.3034,383.2745,383.2938,300
2023-03-01 05:55:00,383.3709,383.5734,383.3709,383.5444,2762
2023-03-01 06:00:00,383.4673,383.4673,383.4577,383.4577,1417
2023-03-01 06:05:00,383.4577,383.5541,383.4577,383.5541,1700
2023-03-01 06:10:00,383.5734,383.6794,383.5348,383.6119,51700
2023-03-01 06:15:00,383.5926,383.7083,383.5348,383.7083,2676
2023-03-01 06:20:00,383.6505,383.6987,383.6408,383.6890,2545
2023-03-01 06:25:00,383.7180,383.7565,383.6216,383.6216,2970
2023-03-01 06:30:00,383.5252,383.5926,383.5252,383.5541,2800
2023-03-01 06:35:00,383.5444,383.5830,383.5444,383.5637,2500
2023-03-01 06:40:00,383.5059,383.6505,383.5059,383.6505,1500
2023-03-01 06:45:00,383.5926,383.5926,383.4866,383.4866,2701
2023-03-01 06:50:00,383.6216,383.6216,383.4191,383.4191,7597
2023-03-01 06:55:00,383.4095,383.4770,383.3709,383.4770,3100
2023-03-01 07:00:00,383.4191,383.4191,382.9660,383.3613,70182
2023-03-01 07:05:00,383.3613,383.3902,383.2649,383.2649,10859
2023-03-01 07:10:00,383.2167,383.2263,382.9468,382.9468,31562
2023-03-01 07:15:00,382.9468,383.1010,382.9371,383.0914,11640
2023-03-01 07:20:00,383.0914,383.1203,383.0721,383.1203,8867
2023-03-01 07:25:00,383.1203,383.2649,383.1203,383.2456,39180
2023-03-01 07:30:00,383.2456,383.3034,383.1781,383.2552,21977
2023-03-01 07:35:00,383.2360,383.3507,383.2360,383.3507,114823
2023-03-01 07:40:00,383.3131,383.3420,383.1492,383.1492,8362
2023-03-01 07:45:00,383.1781,383.2842,383.1010,383.2070,9557
2023-03-01 07:50:00,383.2070,383.2263,383.1396,383.1492,14517
2023-03-01 07:55:00,383.1492,383.2552,383.0914,383.2552,23963
2023-03-01 08:00:00,383.2150,383.7272,382.1370,382.9082,87415
2023-03-01 08:05:00,382.8696,382.9082,382.8311,382.8889,20594
2023-03-01 08:10:00,382.8696,382.8696,382.7636,382.7636,31350
2023-03-01 08:15:00,382.7636,382.8214,382.6498,382.6865,22671
2023-03-01 08:20:00,382.6672,382.6865,382.4455,382.4840,39801
2023-03-01 08:25:00,382.4840,382.5033,382.1177,382.1563,44080
2023-03-01 08:30:00,382.1177,382.2045,381.6357,381.6646,96349
2023-03-01 08:35:00,381.6260,382.0020,381.5682,381.7032,2534895
2023-03-01 08:40:00,381.7032,382.0020,381.2694,381.2694,2562096
2023-03-01 08:45:00,381.2886,381.6068,381.1440,381.5296,71276
2023-03-01 08:50:00,381.5778,381.6260,381.4043,381.4718,37212
2023-03-01 08:55:00,381.5393,381.5393,381.1922,381.1922,25543
2023-03-01 09:00:00,381.1826,381.3079,381.1055,381.1826,81553
