date,open,high,low,close,volume
2022-10-03 04:00:00,343.5220,343.5220,342.4089,342.4089,13341
2022-10-03 04:05:00,342.3609,342.3801,342.2746,342.3130,3078
2022-10-03 04:10:00,342.3417,342.6200,342.3322,342.5241,2260
2022-10-03 04:15:00,342.7352,342.7927,342.5816,342.6968,3633
2022-10-03 04:20:00,342.6872,342.8887,342.6872,342.8791,4498
2022-10-03 04:25:00,342.8887,342.9751,342.5049,342.5337,2550
2022-10-03 04:30:00,342.7640,343.1094,342.7544,343.0614,2200
2022-10-03 04:35:00,343.0806,343.1190,342.7640,342.7640,2750
2022-10-03 04:40:00,343.0422,343.1382,342.8407,342.8407,1750
2022-10-03 04:45:00,343.1382,343.1382,342.8983,343.0038,1500
2022-10-03 04:50:00,343.0710,343.0902,342.8983,343.0902,4850
2022-10-03 04:55:00,343.0134,343.0230,342.9271,342.9463,900
2022-10-03 05:00:00,342.9847,342.9847,342.3609,342.3609,8053
2022-10-03 05:05:00,342.3417,342.4665,341.8908,341.9675,20050
2022-10-03 05:10:00,342.2170,342.4473,342.1882,342.3513,13659
2022-10-03 05:15:00,342.4473,342.7160,342.4473,342.7160,3100
2022-10-03 05:20:00,342.7735,343.3973,342.7735,343.2533,4002
2022-10-03 05:25:00,343.1958,343.4069,343.1862,343.4069,1500
2022-10-03 05:30:00,343.3301,343.7235,343.3301,343.5508,6700
2022-10-03 05:35:00,343.7139,343.7523,343.2917,343.3877,1280
2022-10-03 05:45:00,343.1670,343.1670,343.0422,343.1574,22117
2022-10-03 05:50:00,343.2629,343.3781,343.2533,343.3781,10600
2022-10-03 05:55:00,343.3973,343.5412,343.3973,343.5412,4325
2022-10-03 06:00:00,343.6084,343.7907,343.4260,343.7523,12110
2022-10-03 06:05:00,343.6851,343.7331,343.5124,343.6180,37100
2022-10-03 06:10:00,343.6755,343.9634,343.6372,343.7139,7815
2022-10-03 06:15:00,343.5508,343.5508,343.4356,343.5412,2884
2022-10-03 06:20:00,343.7907,343.8195,343.7043,343.7043,1600
2022-10-03 06:25:00,343.7331,344.0881,343.7331,344.0881,5897
2022-10-03 06:30:00,344.0881,344.0881,343.8387,343.8674,7130
2022-10-03 06:35:00,343.8387,343.9154,343.5604,343.5604,8831
2022-10-03 06:40:00,343.5988,343.6563,343.5028,343.6180,3399
2022-10-03 06:45:00,343.6180,344.2417,343.5796,344.2417,34205
2022-10-03 06:50:00,344.3184,344.4048,343.8579,344.0690,30481
2022-10-03 06:55:00,344.0690,344.6543,344.0498,344.6159,22047
2022-10-03 07:00:00,344.5967,344.6735,344.2609,344.5008,37935
2022-10-03 07:05:00,344.4336,344.6351,344.3760,344.4432,44122
2022-10-03 07:10:00,344.4528,344.7119,344.3184,344.7119,30151
2022-10-03 07:15:00,344.5775,344.8078,344.5775,344.5775,32987
2022-10-03 07:20:00,344.5391,344.5775,344.3760,344.4816,41580
2022-10-03 07:25:00,344.5679,344.6735,344.4624,344.6735,86402
2022-10-03 07:30:00,344.5391,344.8078,344.4816,344.6255,25526
2022-10-03 07:35:00,344.6735,345.0573,344.6447,344.8654,67544
2022-10-03 07:40:00,344.9134,344.9901,344.8174,344.8270,22593
2022-10-03 07:45:00,344.8174,345.0093,344.5295,344.5391,58120
2022-10-03 07:50:00,344.5295,344.6159,344.3568,344.6063,29907
2022-10-03 07:55:00,344.5775,345.4315,344.5487,345.4315,65736
2022-10-03 08:00:00,344.4817,345.8249,342.3322,345.4987,147074
2022-10-03 08:05:00,345.5083,345.5851,345.2780,345.4795,39421
2022-10-03 08:10:00,345.4315,345.4315,345.0381,345.1916,20939
2022-10-03 08:15:00,345.1916,345.3452,344.9613,345.0573,32666
2022-10-03 08:20:00,345.0573,345.5371,345.0093,345.5371,38040
2022-10-03 08:25:00,345.4795,345.5755,345.4795,345.5179,12095
2022-10-03 08:30:00,345.4411,346.2088,345.3452,346.0169,95873
2022-10-03 08:35:00,346.0360,346.0360,345.7194,345.8441,42469
2022-10-03 08:40:00,345.8249,346.2855,345.7866,346.1512,60936
2022-10-03 08:45:00,346.2088,346.7269,346.1416,346.6885,103462
2022-10-03 08:50:00,346.6598,347.0244,346.6022,346.6118,156635
2022-10-03 08:55:00,346.6790,346.7077,346.4870,346.5062,50331
2022-10-03 09:00:00,346.5062,346.7365,346.4679,346.7365,46651
2022-10-03 09:05:00,346.6885,346.8997,346.5542,346.7845,81833
2022-10-03 09:10:00,346.7845,347.1779,346.6885,347.1204,110310
2022-10-03 09:15:00,347.1204,347.3602,346.9188,347.2067,141093
2022-10-03 09:20:00,347.2163,347.2451,346.8805,346.8805,78671
2022-10-03 09:25:00,346.8805,346.8805,346.4966,346.5158,71963
