date,open,high,low,close,volume
2022-05-02 04:00:00,392.9699,394.0546,392.7035,393.9214,18554
2022-05-02 04:05:00,393.6836,394.1498,393.6360,394.1498,2566
2022-05-02 04:10:00,394.0927,394.4352,393.9500,393.9500,1100
2022-05-02 04:15:00,393.6360,394.1117,393.5884,394.1117,2722
2022-05-02 04:20:00,393.6455,393.6455,393.6455,393.6455,100
2022-05-02 04:30:00,393.4457,393.4457,393.1983,393.2554,1600
2022-05-02 04:35:00,393.0936,393.1602,393.0270,393.1222,4100
2022-05-02 04:40:00,393.4076,393.4076,393.1127,393.3030,700
2022-05-02 04:45:00,393.3315,393.3315,393.2078,393.2839,550
2022-05-02 04:50:00,393.0460,393.0651,392.8748,392.8748,2700
2022-05-02 04:55:00,392.6940,392.9699,392.5418,392.9699,3400
2022-05-02 05:00:00,392.9699,393.4552,392.9699,393.4552,3248
2022-05-02 05:05:00,393.3410,393.3791,393.1412,393.1602,3047
2022-05-02 05:10:00,393.5884,393.5884,393.4457,393.4457,3297
2022-05-02 05:15:00,393.4457,393.7406,393.4457,393.4933,2003
2022-05-02 05:20:00,393.3315,393.7692,393.3315,393.7692,2120
2022-05-02 05:25:00,393.7977,393.8643,393.7882,393.8263,3100
2022-05-02 05:30:00,393.9690,393.9690,393.9690,393.9690,1300
2022-05-02 05:35:00,394.2354,394.2354,394.0261,394.0261,900
2022-05-02 05:40:00,394.0166,394.0166,393.9214,393.9214,200
2022-05-02 05:45:00,393.8358,393.8548,393.7026,393.7026,785
2022-05-02 05:50:00,394.0927,394.0927,393.9214,393.9214,1200
2022-05-02 05:55:00,393.8263,393.8548,393.6360,393.6360,5051
2022-05-02 06:00:00,393.6550,393.7311,393.3600,393.4837,2770
2022-05-02 06:05:00,393.3886,393.4171,393.2839,393.3505,21100
2022-05-02 06:10:00,393.5408,393.9309,393.5408,393.9309,4950
2022-05-02 06:15:00,393.9214,394.0166,393.9214,394.0071,4000
2022-05-02 06:20:00,393.9214,393.9500,393.7977,393.9119,11795
2022-05-02 06:25:00,393.7977,393.8548,393.6740,393.8548,8725
2022-05-02 06:30:00,393.7406,394.0071,393.7406,394.0071,3050
2022-05-02 06:35:00,394.0927,394.1117,393.9119,394.1117,5800
2022-05-02 06:40:00,393.8739,393.8739,393.6074,393.7311,1300
2022-05-02 06:45:00,393.5884,393.6169,393.5599,393.6169,8296
2022-05-02 06:50:00,393.5313,393.6645,393.5313,393.5408,5630
2022-05-02 06:55:00,393.6360,393.6455,393.3505,393.3505,7800
2022-05-02 07:00:00,393.5599,393.5979,393.3315,393.3315,8213
