date,open,high,low,close,volume
2021-03-01 04:00:00,360.3582,360.6765,360.2834,360.2927,16074
2021-03-01 04:05:00,360.2459,360.4331,360.2272,360.4331,37091
2021-03-01 04:10:00,360.4331,360.4986,360.2646,360.3395,18280
2021-03-01 04:15:00,360.3863,360.4893,360.3395,360.3582,3744
2021-03-01 04:20:00,360.1991,360.2740,360.1710,360.1898,8360
2021-03-01 04:25:00,360.2740,360.2927,360.0962,360.0962,4347
2021-03-01 04:30:00,360.1055,360.1710,359.9839,360.0307,5812
2021-03-01 04:35:00,360.0868,360.0868,359.8528,360.0400,9576
2021-03-01 04:40:00,359.9371,360.0962,359.9371,360.0962,2462
2021-03-01 04:45:00,360.2740,360.3863,360.1430,360.1991,3990
2021-03-01 04:50:00,360.2646,360.3208,360.2646,360.3208,2148
2021-03-01 04:55:00,360.3208,360.3770,360.2834,360.2834,4339
2021-03-01 05:00:00,360.3114,360.3114,360.2085,360.2927,1760
2021-03-01 05:05:00,360.3863,360.3863,360.1430,360.1898,56713
2021-03-01 05:10:00,360.1898,360.3114,360.1898,360.3021,50100
2021-03-01 05:15:00,360.3395,360.3676,360.3395,360.3676,2090
2021-03-01 05:20:00,360.4518,360.5454,360.4518,360.5361,700
2021-03-01 05:25:00,360.5267,360.5454,360.4518,360.4518,1700
2021-03-01 05:30:00,360.3582,360.3582,360.3582,360.3582,300
2021-03-01 05:35:00,360.4425,360.5080,360.3863,360.4238,4740
2021-03-01 05:40:00,360.3676,360.4518,360.3582,360.3582,6205
2021-03-01 05:45:00,360.3208,360.3302,360.3208,360.3302,13069
2021-03-01 05:50:00,360.3208,360.3208,360.2927,360.3114,959
2021-03-01 05:55:00,360.2272,360.2272,360.2085,360.2085,1200
2021-03-01 06:00:00,360.2272,360.2740,360.1523,360.1523,10503
2021-03-01 06:05:00,360.1523,360.1523,359.9839,360.0400,6771
2021-03-01 06:10:00,359.9651,359.9932,359.9371,359.9932,3450
2021-03-01 06:15:00,359.8060,359.8435,359.7779,359.7779,3025
2021-03-01 06:20:00,359.7967,359.8154,359.6843,359.8154,9099
2021-03-01 06:25:00,359.7592,359.8060,359.6563,359.6563,4800
2021-03-01 06:30:00,359.6469,359.8809,359.6469,359.8247,3883
2021-03-01 06:35:00,359.8528,359.9371,359.8154,359.9371,29415
2021-03-01 06:40:00,359.9183,360.3489,359.9183,359.9371,11513
2021-03-01 06:45:00,359.9464,359.9932,359.8903,359.8903,26099
2021-03-01 06:50:00,359.7124,359.7873,359.4784,359.4971,3942
2021-03-01 06:55:00,359.5907,359.7311,359.5907,359.7311,1505
2021-03-01 07:00:00,359.6843,359.8903,359.5346,359.8903,39644
2021-03-01 07:05:00,359.7873,359.8715,359.7218,359.8247,20293
2021-03-01 07:10:00,359.8435,359.8903,359.7779,359.8435,24970
