date,open,high,low,close,volume
2023-04-03 04:00:00,395.8064,396.1161,395.3225,395.8838,26793
2023-04-03 04:05:00,395.8161,395.9225,395.6806,395.6806,8005
2023-04-03 04:10:00,395.7290,395.7387,395.5838,395.5838,1857
2023-04-03 04:15:00,395.6032,395.6516,395.4774,395.5354,14717
2023-04-03 04:20:00,395.5645,395.5741,395.4290,395.4677,3438
2023-04-03 04:25:00,395.4193,395.4193,395.2451,395.2451,5872
2023-04-03 04:30:00,395.2741,395.3806,395.1870,395.3806,4120
2023-04-03 04:35:00,395.3806,395.4870,395.3806,395.4870,8686
2023-04-03 04:40:00,395.4290,395.5548,395.4290,395.5548,642
2023-04-03 04:45:00,395.4774,395.4774,395.4193,395.4387,1147
2023-04-03 04:50:00,395.5064,395.6128,395.5064,395.5064,832
2023-04-03 04:55:00,395.4677,395.5548,395.4677,395.4870,2797
2023-04-03 05:00:00,395.5354,395.6225,395.5354,395.6225,484
2023-04-03 05:05:00,395.6225,395.7483,395.6225,395.7483,1700
2023-04-03 05:10:00,395.7870,395.7870,395.6516,395.7290,1300
2023-04-03 05:15:00,395.8064,395.8064,395.7096,395.7096,1897
2023-04-03 05:20:00,395.6612,395.7193,395.6419,395.6806,1457
2023-04-03 05:25:00,395.6709,395.6709,395.6032,395.6032,1195
2023-04-03 05:30:00,395.7290,395.7290,395.7290,395.7290,100
2023-04-03 05:35:00,395.7774,395.7774,395.7096,395.7096,2612
2023-04-03 05:40:00,395.6999,395.7096,395.6225,395.6225,1500
2023-04-03 05:45:00,395.6322,395.7096,395.5838,395.6516,2948
2023-04-03 05:50:00,395.6128,395.6516,395.6128,395.6516,4399
2023-04-03 06:00:00,395.7870,395.9612,395.7580,395.9128,2161
2023-04-03 06:05:00,395.8838,395.9419,395.8548,395.8741,11302
2023-04-03 06:10:00,395.9032,395.9999,395.8645,395.9128,4500
2023-04-03 06:15:00,395.9516,396.0774,395.9322,396.0483,4060
2023-04-03 06:20:00,396.0677,396.0967,396.0580,396.0967,2166
2023-04-03 06:25:00,396.0870,396.0870,395.9128,395.9612,1614
2023-04-03 06:30:00,395.9806,395.9999,395.9612,395.9903,1502
2023-04-03 06:35:00,395.9032,395.9709,395.9032,395.9709,515
2023-04-03 06:40:00,395.9516,396.0967,395.9516,396.0193,29351
2023-04-03 06:45:00,395.9806,396.0096,395.9709,396.0096,3053
2023-04-03 06:50:00,396.0193,396.1451,395.9999,395.9999,6414
2023-04-03 06:55:00,395.9225,396.0677,395.9225,396.0387,2580
2023-04-03 07:00:00,396.0387,396.1064,395.9128,395.9225,20495
2023-04-03 07:05:00,395.8935,395.9032,395.7290,395.7774,12267
2023-04-03 07:10:00,395.7483,395.8925,395.7483,395.8925,7807
2023-04-03 07:15:00,395.8741,395.9903,395.8548,395.9903,27104
2023-04-03 07:20:00,395.9903,396.1258,395.9806,396.0580,19480
2023-04-03 07:25:00,396.0483,396.1548,395.9806,396.0193,22188
