date,open,high,low,close,volume
2021-11-01 04:00:00,434.7295,434.9185,434.7295,434.8618,3132
2021-11-01 04:05:00,434.8051,434.8807,434.8051,434.8807,1934
2021-11-01 04:10:00,434.9375,434.9469,434.8240,434.9469,2520
2021-11-01 04:15:00,435.0792,435.2872,435.0792,435.2305,1779
2021-11-01 04:20:00,435.3061,435.3061,435.3061,435.3061,100
2021-11-01 04:25:00,435.4006,435.5140,435.3155,435.4290,7700
2021-11-01 04:30:00,435.4290,435.4951,435.4195,435.4479,3849
2021-11-01 04:35:00,435.4668,435.6275,435.4668,435.6275,633
2021-11-01 04:40:00,435.5140,435.5897,435.5140,435.5802,3210
2021-11-01 04:45:00,435.5991,435.5991,435.5613,435.5613,837
2021-11-01 04:50:00,435.5613,435.6464,435.5613,435.6275,4911
2021-11-01 04:55:00,435.6275,435.6747,435.6275,435.6464,2867
2021-11-01 05:00:00,435.6369,435.8071,435.6369,435.8071,1977
2021-11-01 05:05:00,435.8638,435.9678,435.8638,435.9394,3652
2021-11-01 05:10:00,435.9583,436.0245,435.9488,435.9488,3720
2021-11-01 05:15:00,435.8732,435.8732,435.8354,435.8638,658
2021-11-01 05:20:00,435.8543,435.8543,435.7976,435.7976,681
2021-11-01 05:25:00,435.7976,435.7976,435.7882,435.7882,300
2021-11-01 05:30:00,435.8165,435.8165,435.8165,435.8165,300
2021-11-01 05:35:00,435.8732,435.8827,435.8638,435.8638,900
2021-11-01 05:40:00,435.8165,435.8165,435.7787,435.7787,3100
2021-11-01 05:45:00,435.7503,435.7503,435.7503,435.7503,505
2021-11-01 05:50:00,435.7693,435.7882,435.7693,435.7882,500
2021-11-01 05:55:00,435.7598,435.7693,435.7598,435.7693,548
2021-11-01 06:00:00,435.8165,435.8165,435.8165,435.8165,553
2021-11-01 06:10:00,435.8071,435.8827,435.8071,435.8260,3898
2021-11-01 06:15:00,435.8260,435.9394,435.8260,435.9110,25185
2021-11-01 06:20:00,435.9583,435.9867,435.9394,435.9394,25150
2021-11-01 06:25:00,435.8071,435.8165,435.7882,435.8165,5195
2021-11-01 06:30:00,435.7976,435.7976,435.7976,435.7976,100
2021-11-01 06:35:00,435.9299,435.9299,435.9016,435.9205,750
2021-11-01 06:40:00,435.8732,435.8732,435.8732,435.8732,100
2021-11-01 06:45:00,435.8921,435.8921,435.8921,435.8921,309
2021-11-01 06:50:00,435.9394,435.9961,435.8921,435.9961,26833
2021-11-01 06:55:00,435.9772,436.0717,435.9772,436.0623,3430
2021-11-01 07:00:00,436.0150,436.0906,436.0150,436.0717,7075
2021-11-01 07:05:00,436.1190,436.1473,436.0623,436.1190,4100
2021-11-01 07:10:00,436.1001,436.1001,436.0339,436.0339,1357
2021-11-01 07:15:00,436.0150,436.0245,435.9678,436.0150,5166
2021-11-01 07:20:00,435.9678,435.9678,435.9016,435.9016,5436
2021-11-01 07:25:00,435.9394,435.9488,435.9016,435.9488,4183
2021-11-01 07:30:00,435.9394,435.9394,435.7976,435.7976,26814
2021-11-01 07:35:00,435.7976,435.7976,435.7503,435.7787,9529
2021-11-01 07:40:00,435.7693,435.7787,435.7503,435.7787,3655
2021-11-01 07:45:00,435.7598,435.8260,435.7598,435.8071,4693
2021-11-01 07:50:00,435.8260,435.8449,435.8165,435.8165,997
2021-11-01 07:55:00,435.8165,435.8260,435.8071,435.8165,1737
2021-11-01 08:00:00,436.0622,436.1284,434.5310,435.7314,18542
2021-11-01 08:05:00,435.7503,435.7503,435.6086,435.6738,5065
2021-11-01 08:10:00,435.6747,435.6747,435.6086,435.6549,8854
2021-11-01 08:15:00,435.6275,435.6842,435.5708,435.6653,7349
2021-11-01 08:20:00,435.6936,435.6936,435.6180,435.6464,4430
2021-11-01 08:25:00,435.6653,435.6653,435.6369,435.6558,3270
2021-11-01 08:30:00,435.6369,435.6369,435.4573,435.4573,17518
2021-11-01 08:35:00,435.4573,435.4668,435.3908,435.4573,8603
2021-11-01 08:40:00,435.4101,435.4573,435.3108,435.3344,7468
2021-11-01 08:45:00,435.3628,435.4290,435.1832,435.2021,21217
2021-11-01 08:50:00,435.1832,435.2305,435.1738,435.1927,10133
2021-11-01 08:55:00,435.2210,435.2399,435.1832,435.1927,10401
2021-11-01 09:00:00,435.1927,435.2116,435.0509,435.0792,10297
2021-11-01 09:05:00,435.0509,435.0792,434.7579,434.8713,19222
2021-11-01 09:10:00,434.8713,435.0887,434.8240,435.0887,124589
2021-11-01 09:15:00,435.0792,435.1643,435.0414,435.1642,10811
2021-11-01 09:20:00,435.1454,435.1738,435.0509,435.1738,21292
2021-11-01 09:25:00,435.1359,435.1832,435.0509,435.0981,153135
2021-11-01 09:30:00,435.0887,435.4688,434.8524,435.2588,1961188
2021-11-01 09:35:00,435.2683,435.2872,434.5594,434.9564,1268932
2021-11-01 09:40:00,434.9564,435.0320,434.7011,434.7106,938658
